date,av_eurusd_close
2014-11-27,1.24581
2014-11-26,1.25066
2014-11-25,1.24731
2014-11-24,1.24380
2014-11-21,1.23900
2014-11-20,1.25419
2014-11-19,1.25450
2014-11-18,1.25310
2014-11-17,1.24494
2014-11-14,1.25220
2014-11-13,1.24752
2014-11-12,1.24280
2014-11-11,1.24730
2014-11-10,1.24238
2014-11-07,1.24540
2014-11-06,1.23750
2014-11-05,1.24850
2014-11-04,1.25450
2014-11-03,1.24800
2014-10-31,1.25210
2014-10-30,1.26140
2014-10-29,1.26360
2014-10-28,1.27330
2014-10-27,1.26960
2014-10-24,1.26690
2014-10-23,1.26450
2014-10-22,1.26430
2014-10-21,1.27100
2014-10-20,1.27940
2014-10-17,1.27580
2014-10-16,1.28010
2014-10-15,1.28170
2014-10-14,1.26580
2014-10-13,1.27400
2014-10-10,1.26270
2014-10-09,1.26890
2014-10-08,1.27300
2014-10-07,1.26640
2014-10-06,1.26520
2014-10-03,1.25120
